timestamp,tick,time_remaining,event_type,tender_id,ticker,quantity,price,decision_reason,estimated_edge,estimated_profit,order_id,action,order_type,order_price,reason,position,unrealized_pnl,realized_pnl,position_before,position_after,method,total_fines,pnl_at_time,flag_type,flag_details,details
2026-01-17T05:05:16.456822+00:00,0,300.0000,RUN_START,,,,,,,,,,,,,,,,,,,,,,,audit mvp started
2026-01-17T05:05:30.181514+00:00,0,300.0000,POSITION_SNAPSHOT,,CRZY,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=9.69;bid=0.0;ask=0.0
2026-01-17T05:05:30.181797+00:00,0,300.0000,POSITION_SNAPSHOT,,TAME,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=25.59;bid=0.0;ask=0.0
2026-01-17T05:05:30.728972+00:00,0,300.0000,POSITION_SNAPSHOT,,CRZY,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=9.69;bid=0.0;ask=0.0
2026-01-17T05:05:30.729102+00:00,0,300.0000,POSITION_SNAPSHOT,,TAME,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=25.59;bid=0.0;ask=0.0
2026-01-17T05:05:45.475510+00:00,3,297.0000,POSITION_SNAPSHOT,,CRZY,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=9.98;bid=9.94;ask=9.98
2026-01-17T05:05:45.475677+00:00,3,297.0000,POSITION_SNAPSHOT,,TAME,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=25.05;bid=24.97;ask=25.05
2026-01-17T05:05:45.986532+00:00,4,296.0000,POSITION_SNAPSHOT,,CRZY,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=9.93;bid=9.93;ask=9.98
2026-01-17T05:05:45.986686+00:00,4,296.0000,POSITION_SNAPSHOT,,TAME,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=25.07;bid=24.97;ask=25.07
2026-01-17T05:06:00.215902+00:00,18,282.0000,POSITION_SNAPSHOT,,CRZY,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=9.95;bid=9.91;ask=9.95
2026-01-17T05:06:00.216108+00:00,18,282.0000,POSITION_SNAPSHOT,,TAME,,,,,,,,,,,0.0,,,,,,,,,,vwap=0.0;last=25.14;bid=25.12;ask=25.14
2026-01-17T05:06:00.729343+00:00,19,281.0000,TENDER_RECEIVED,9,TAME,69000.0,24.88,,,,,,,,,,,,,,,,,,,
